Country;Year;GDP_per_capita;Unemployment;Public_educational_expenditure;Life_expectancy
AT;2012;36390;3.5;17242.8;78.4
AT;2013;36180;3.8;17709.9;78.6
AT;2014;36130;4;17836.4;79.1
AT;2015;36140;4.1;18456;78.8
AT;2016;36390;4.4;19234.7;79.3
AT;2017;36980;4;19441.8;79.4
AT;2018;37690;3.6;19697.6;79.4
AT;2019;38070;3.3;18740.9;79.7
AT;2020;35390;4.1;20677.4;78.9
BE;2012;33490;4.6;24931.9;77.8
BE;2013;33490;5.1;25692.6;78.1
BE;2014;33870;5.2;26031.6;78.8
BE;2015;34360;5.2;26372;78.7
BE;2016;34620;4.7;27229.2;79
BE;2017;35050;4.3;28030.1;79.2
BE;2018;35510;3.6;28946.8;79.4
BE;2019;36110;3.3;29887.2;79.8
BE;2020;34060;3.4;30865.9;78.6
BG;2012;5390;7.8;1469;70.9
BG;2013;5390;8.3;1706.5;71.3
BG;2014;5470;7.4;1804.4;71.1
BG;2015;5700;6.1;1779.1;71.2
BG;2016;5910;5.1;1859.6;71.3
BG;2017;6120;4.4;;71.4
BG;2018;6330;3.8;2274.5;71.5
BG;2019;6630;3.3;2583.7;71.6
BG;2020;6400;3.8;2775.5;70
CH;2012;58290;3.3;;80.6
CH;2013;58650;3.5;25664.5;80.7
CH;2014;59300;3.6;26549.2;81.1
CH;2015;59600;3.6;30710.3;80.8
CH;2016;60170;3.7;30459.1;81.7
CH;2017;60420;3.7;30396.2;81.6
CH;2018;61690;3.6;29719.8;81.9
CH;2019;61950;3.4;;82.1
CH;2020;60190;3.7;33708.4;81
CY;2012;21840;8;1181.1;78.9
CY;2013;20450;10.7;1113.7;80.1
CY;2014;20310;11;1078.4;80.3
CY;2015;21120;10;1095.6;79.9
CY;2016;22410;8.6;1113.8;80.5
CY;2017;23470;7.4;1155.4;80.2
CY;2018;24500;5.7;1176.1;80.9
CY;2019;25510;4.9;1205.2;80.3
CY;2020;24360;5.2;1241.8;80.4
CZ;2012;15170;4.4;6615.6;75.1
CZ;2013;15160;4.5;6225.1;75.2
CZ;2014;15480;3.9;6008.2;75.8
CZ;2015;16290;3.3;6388.5;75.7
CZ;2016;16670;2.6;6280.9;76.1
CZ;2017;17490;1.9;7235.3;76.1
CZ;2018;17990;1.5;8917.4;76.2
CZ;2019;18460;1.3;10146.7;76.4
CZ;2020;17400;1.7;10084.7;75.3
DE;2012;33280;3.4;127861.2;78.1
DE;2013;33330;3.3;130391.6;78.1
DE;2014;33920;3.2;134353.1;78.7
DE;2015;34130;2.9;136972.7;78.3
DE;2016;34610;2.7;141152.4;78.6
DE;2017;35410;2.4;147019.3;78.7
DE;2018;35650;2.2;154147.3;78.6
DE;2019;35950;2.1;163097;79
DE;2020;34550;2.5;174385.6;78.7
DK;2012;44170;5.3;;78.1
DK;2013;44410;5;;78.3
DK;2014;44890;4.7;;78.7
DK;2015;45630;4.2;;78.8
DK;2016;46720;4.1;19708.3;79
DK;2017;47740;4;19466;79.2
DK;2018;48450;3.5;19629.3;79.1
DK;2019;48970;3.5;19758.6;79.5
DK;2020;47680;3.9;21379.1;79.7
EE;2012;12320;6.8;842.2;71.4
EE;2013;12540;5.9;916;72.8
EE;2014;12960;5;;72.4
EE;2015;13230;4.5;;73.2
EE;2016;13620;4.9;;73.3
EE;2017;14410;4.2;;73.8
EE;2018;14920;3.9;;74
EE;2019;15450;3.2;;74.5
EE;2020;15260;5;;74.4
EL;2012;16940;14.6;6960.5;78
EL;2013;16630;16.4;6459.6;78.7
EL;2014;16830;15.7;6435.7;78.8
EL;2015;16900;14.8;6457.6;78.5
EL;2016;16890;14.2;;78.9
EL;2017;17110;13;6151.1;78.8
EL;2018;17430;11.7;6459.3;79.3
EL;2019;17780;10.7;6575.1;79.2
EL;2020;16150;10;;78.8
ES;2012;22080;16.5;44690;79.5
ES;2013;21850;17.3;42913.4;80.2
ES;2014;22220;16;43010.6;80.4
ES;2015;23090;14.5;44732.9;80.1
ES;2016;23780;12.8;45634.9;80.5
ES;2017;24440;11.2;47327.7;80.6
ES;2018;24890;9.9;48501.6;80.7
ES;2019;25180;9.1;50814.6;81.1
ES;2020;22250;9.9;52760.3;79.6
FI;2012;35140;5.2;13695.9;77.7
FI;2013;34660;5.4;13856.1;
FI;2014;34390;5.7;13990.9;78.4
FI;2015;34460;6.1;14153.6;78.7
FI;2016;35330;5.8;14159.4;78.6
FI;2017;36380;5.7;13674.5;78.9
FI;2018;36740;4.9;13865.8;79.1
FI;2019;37150;4.5;14536.6;79.3
FI;2020;36220;5.1;14924;79.2
FR;2012;31160;6.2;113973.9;78.7
FR;2013;31170;6.6;116451.4;79
FR;2014;31320;6.5;118496.4;79.5
FR;2015;31540;6.5;120127.5;79.2
FR;2016;31770;6.3;121068.9;79.5
FR;2017;32360;5.9;125236.3;79.6
FR;2018;32800;5.7;127788;79.7
FR;2019;33250;5.3;130521.5;79.9
FR;2020;30630;5;131184.8;79.2
HR;2012;10480;9.1;;73.9
HR;2013;10480;9.8;;74.5
HR;2014;10480;10.1;;74.7
HR;2015;10810;9.5;;74.4
HR;2016;11290;7.5;1789.7;75
HR;2017;11800;6.5;;74.9
HR;2018;12250;4.9;;74.9
HR;2019;12740;3.8;2176.7;75.5
HR;2020;11700;4.3;1916.9;74.7
HU;2012;10120;6.2;3942.4;71.6
HU;2013;10330;5.8;4042.1;72.2
HU;2014;10790;4.5;;72.3
HU;2015;11220;4.1;4667.3;72.3
HU;2016;11500;3.1;5080.3;72.6
HU;2017;12020;2.6;5310.3;72.5
HU;2018;12690;2.3;5532.3;72.7
HU;2019;13310;2.1;5705.4;73.1
HU;2020;12730;2.7;5282.7;72.3
IE;2012;36830;10.2;10105.9;78.7
IE;2013;37080;9.1;9584.2;78.9
IE;2014;40070;7.8;9509.8;79.3
IE;2015;49420;6.6;9878.1;79.6
IE;2016;49730;5.6;;79.9
IE;2017;53750;4.5;;80.4
IE;2018;57610;3.9;;80.4
IE;2019;59840;3.3;;80.8
IE;2020;63120;3.8;;80.8
IS;2012;33330;4.8;765.1;81.6
IS;2013;34510;4.3;796.6;80.5
IS;2014;34710;4;904.4;81.3
IS;2015;35870;3.3;1035.2;81.2
IS;2016;37610;2.5;1219.2;80.4
IS;2017;38280;2.3;1447;81.1
IS;2018;39090;2.2;1467.9;81.3
IS;2019;38940;2.8;1451.3;81.7
IS;2020;35550;4.3;1383.4;81.6
IT;2012;26160;6;65884.4;79.8
IT;2013;25620;6.8;66827.1;80.3
IT;2014;25620;7.1;66093.6;80.7
IT;2015;25860;6.7;67433;80.3
IT;2016;26240;6.6;64707.7;81
IT;2017;26730;6.4;70244.2;80.8
IT;2018;27030;6.1;75393;81.2
IT;2019;27230;5.7;73577.6;81.4
IT;2020;24910;5.2;73781.6;80
LT;2012;10330;8.6;1589.7;68.4
LT;2013;10810;7.6;;68.5
LT;2014;11290;7.1;1597.2;69.2
