Anul,Total,Rasinoase,Fag,Stejar,Diverse_specii_tari,Diverse_specii_moi
1990,16649,5813.4,4957.8,2045.4,2070.7,1761.7
1991,15377.1,4955.6,4644.1,1919.2,2089.5,1768.7
1992,14419.3,4418.2,4628.7,1738.9,2109.1,1524.4
1993,13590.7,4564.3,4072.7,1629.2,1872.3,1452.2
1994,12942.1,4284.5,4036.6,1651.4,1741.3,1228.3
1995,13812.7,4973.1,4214.7,1550.5,1774.4,1300
1996,14803.3,5751.3,4266.3,1658.4,1875.8,1251.5
1997,14508.5,5836.1,4263.1,1488.8,1756.6,1163.9
1998,12642,5194.7,3634.5,1276.5,1491.4,1044.9
1999,13718.1,5564.5,4115,1358.2,1587.5,1092.9
2000,14284.7,5346.1,4508.4,1333,1731,1366.2
2001,13410.3,4915.3,4260.1,1287.8,1673.3,1273.8
2002,16383.1,7165.6,4439.2,1494.8,1805.2,1478.3
2003,16691.5,7139,4747.7,1531.6,1823,1450.2
2004,17082.1,6356.6,5412,1694.4,2030.5,1588.6
2005,15671.3,6060.5,4794.2,1586.1,1852.1,1378.4
2006,15684,5765,4997.2,1632.2,1914.6,1375
2007,17237.6,7490.7,5182.3,1484.6,1667.9,1412.1
2008,16704.6,6766.3,5208,1652.9,1759.7,1317.7
2009,16519.9,6634.6,5488.9,1402.8,1845.4,1148.2
2010,16991.6,6832.2,5654.2,1565.9,1784.3,1155
2011,18705,7521.2,6174.9,1747.2,1946.3,1315.4
2012,19081.2,7615.1,6332.1,1687.1,2014.4,1432.5
2013,19282.1,7921.8,6226.5,1741.6,1968.9,1423.3
2014,17889.3,7225,5836.6,1664.1,1876,1287.6
2015,18133.1,6782.2,6215.5,1768.6,1950.6,1416.2
2016,17197.5,6268.2,5798.3,1687.9,2008.3,1434.8
2017,18315.8,6530.7,6211.5,1788.5,2227.6,1557.5
2018,19461.5,7127.4,6583.5,2041.3,2190.9,1518.4
2019,18903.7,6961.9,6430.4,1927.1,2163,1421.3
2020,19652,8261.1,6109.8,1894.2,2096,1290.9
2021,19993.6,8023.8,6146.1,2018.7,2260.5,1544.5
2022,20238.1,7334.3,6469,2215,2531.7,1688.1
