,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
I1,0.4642526725009562,0.5785698278204776,0.5842371099619997,0.8184680577642147,0.8206992939129925,0.9105137079055825,0.966677986017392,0.9666845152175693,0.9944505757012467,0.9951271926647731,0.9997757348433952,1.0000000000000007
I2a,0.0729629912943506,0.48692882909726554,0.8449798730442896,0.8761181328928945,0.8966342112359402,0.9064017499254282,0.9113061880341072,0.9460415187867462,0.9915725075220579,0.9979348689241062,0.999636092303,1.0000000000000024
I2b,0.0966407173677938,0.8003600472419002,0.8626604184722227,0.8682024600804573,0.8795482888587602,0.9100584148575099,0.9165146436055395,0.9223067306441789,0.9299044480463351,0.9895683269792054,0.9999850120596311,1.0000000000000016
R1a,0.17068764222555577,0.576212230792094,0.5989251368881335,0.6797542461529474,0.9779539050223113,0.9858720142277966,0.9859025268175134,0.9937184684952243,0.998710411271547,0.9990027689716081,0.9993822275569728,1.0
R1b,0.003338928301120192,0.8072375281847256,0.8075134045798005,0.861102757411437,0.8796986632604166,0.9835898754069599,0.9861736490454185,0.9903755787135423,0.9913893779352588,0.9978253487002828,0.9989210194083452,0.9999999999999984
G,0.5207669479030461,0.7084222498848273,0.711321254388449,0.7154580930782513,0.7979234564613926,0.8041440131285061,0.9391490163986012,0.9693574039143388,0.9880209916174814,0.9952492276150007,0.999987862147145,0.9999999999999993
J2,0.8598388434619278,0.8599632393105644,0.8636388310450163,0.9008696972379786,0.9017750879408328,0.9283033950463367,0.929815771151872,0.9471588797602989,0.947159066011294,0.9615310511796415,0.999801983432618,0.9999999999999992
J1,0.7165264774005402,0.71842283987191,0.7523062620416274,0.7596837362520401,0.7758543698037939,0.7758891318752889,0.8661256887231444,0.9603879544397448,0.998215259277023,0.998328042270542,0.999992365049157,1.0000000000000004
E1b1b,0.5945363337502545,0.6326142300343841,0.7714736125812625,0.7715922217287787,0.8450068770610544,0.918266661798319,0.9261060356292118,0.9572633066245989,0.9802068125084513,0.9849124600604152,0.9998457623952793,1.000000000000001
T,0.5926989462189406,0.5933349978995061,0.7423691806350605,0.8124887384934292,0.8344940309790544,0.8992388816537191,0.9016305426804146,0.9328854321493459,0.9533042305576299,0.9989729047545997,0.9999993996810245,1.0
Q,0.06692916857233216,0.09329455461229058,0.5479532873835474,0.8367935034141872,0.87672094033722,0.9694646116499533,0.9751281308295264,0.9758575757113586,0.9990434177670152,0.9998675419241203,0.99999961778444,0.9999999999999998
N,0.19413720844776683,0.3664332948742841,0.7187584111216179,0.8313021825732086,0.9122399185154773,0.9126373329920247,0.9685657671908887,0.9914617690486885,0.9963510626277092,0.99889451127289,0.999535809266231,1.0000000000000004
