,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
ALB,0.02992224300372766,0.003992075688908506,0.0009243948633936797,0.007285616369196074,0.09162090975304538,0.09368886980142567,0.009054219921752723,0.1139457421217365,0.08865843652610463,0.003152259352231831,0.02292999996474166,0.062293544134411745
AUT,0.0017073134954729704,0.007411383173262931,6.59759095444683e-06,0.00012391040656651892,0.01729901291336495,0.006997774140752709,0.04599363397894175,0.004369374079720941,0.0414051683801099,0.08305756155522422,0.02962050996987843,0.015904975221844614
BLR,0.007125097145524758,0.03682263534982178,0.008264641941752603,0.0671997213766903,0.01843942934152843,0.013868584565226934,0.0028760010817035133,0.010599797187980336,0.00031619883948983763,0.007851772589492914,0.00030093237151069754,0.010809218375523835
BEL,0.0010197531351714445,0.049105676615809966,3.172543725585826e-05,0.003940035419158258,0.00510180996167881,0.013467796063508767,7.471717663175547e-06,0.0006324220713376588,4.9127981085856035e-05,2.9995174936295884e-05,0.00014775953132744333,0.00822426136384765
BIH,0.0005701741936590166,0.07987825982143225,0.14286077619013743,0.0018051572046031243,0.020862321209189842,0.12120279349840825,0.0018653597339049423,0.033795141585154405,0.10330758011519968,0.01287612838497892,0.018544728063872508,0.000498608482256811
BGR,0.02816184393280208,0.00464454388320167,0.00822326216494481,0.0008439990639652218,0.0030058418728415625,0.03320942930797305,0.0017700134294761727,0.0027250099745402432,0.01924720102805764,0.02216794171845445,0.10821269247274476,0.014156796180794327
HRV,0.00017643700927439076,0.03151951857664815,0.0373419809898531,0.007281243212619081,0.001197121887630003,0.00509062070870931,0.002821993132976841,0.024502031211076098,0.04479000352386583,0.000816145332112948,0.014083647441298043,0.005764719918687677
CZE,0.0032012058072348366,0.00044884728617216815,0.014879815565541464,0.002329561841216741,0.0839907750572306,0.0008443013487058411,0.05156108090104349,0.006035989308443517,0.0014560066419515383,0.0038943994296925005,0.019436393551852175,0.015583547864426834
CYP,0.2297567006750742,6.155190994144001e-06,0.04174550061736064,0.05481807712317506,0.012261982653199194,0.016445512497901247,0.0034250371428156544,0.005239393338938253,0.012909697850705903,0.026315257740715314,0.14921360668824488,0.00657549485528441
DNK,0.033601520066585976,0.03259784135203545,0.009692788832004301,0.028417338938616095,0.005451476058442432,0.05368844844007556,0.027748981401321732,4.7708142437773996e-05,0.016993589659243215,0.0015644762870693036,0.0032786870981267825,0.02735472306667814
GBR,0.011452552458983998,0.04787630876917771,9.88068442814586e-05,0.009366172915205636,0.021430573339373798,0.02299307554092286,0.012362195092850949,0.011046281107846495,2.3977506506100033e-05,0.003034782985527772,0.045425183143855435,0.026292729989353992
EST,0.01095308966475817,0.02270853346544648,0.0903283432142628,0.038733132472585204,0.00015629180152183672,0.02441688634491322,0.00015949033851170408,0.057825765077702616,0.03570508300833151,0.18920440842465938,0.04221024575139805,0.005083409096949058
FIN,0.052664564370448246,0.011139310960483826,0.1253598038924433,0.10711497723656396,0.2136200323649042,0.04371228167990361,0.0068848711300847154,0.10421217689366596,0.019761408878460313,0.018241676315940734,0.003884434649463609,0.00024653549381258553
FRA,0.0007570100742226637,0.03904848322313109,6.336635517165769e-07,0.0034909012212668363,0.004083264355084235,0.01312929499427904,0.008012632498439969,0.004321962043958693,0.00030615914789866545,0.03042750956339218,0.019676828216996834,0.0012247919155422913
DEU,0.003400953347482218,0.030132998980970663,2.46520787656334e-06,0.0007458629492202648,0.004119243330153109,0.002373993014022761,0.016291472679461332,0.004256161131830091,0.016973436752667027,0.0004938401660300491,0.002746771612440116,0.013929285970688068
GRC,0.09193688407627679,6.077957917322696e-06,0.01552790054674821,0.009318708941083878,0.0013156988650370933,0.012860308522695138,0.0011776060407334143,0.08803516163535749,0.03413679848833736,0.06703929101419584,3.912499932446163e-05,0.026991974371014135
