,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
ALB,0.4132338477035335,0.03632717269770084,0.004646095900544071,0.021395214140240537,0.19378333587501517,0.1503400482883648,0.010590700023398666,0.10135904458308688,0.06042191580540739,0.0014888725103560235,0.005793805116211281,0.0006199473561408215
AUT,0.08668189663265359,0.2479393677674373,0.00012190721870449348,0.0013377393766465556,0.13451060975854182,0.04128193038783461,0.19778107965253217,0.014288841720243414,0.10373907440084176,0.14422087856567592,0.027514761385144946,0.0005819131337433964
BLR,0.1311092872178285,0.44646623887386927,0.05534719479110501,0.26294125745013563,0.051964915966947134,0.029652393128563066,0.004482327633313212,0.012563275615561854,0.00028712804871877667,0.0049413339645556255,0.00010131404646365038,0.00014333326293866289
BEL,0.027842795354843224,0.8834471536196884,0.0003152494281394174,0.022875284752027426,0.02133350186194974,0.0427266911663387,1.7278662641365267e-05,0.001112211726860678,6.619411572415529e-05,2.8009348896730387e-05,7.381274873244555e-05,0.000161817214157582
BIH,0.004350120570488971,0.40156275256049,0.3966757462838329,0.0029285818267716607,0.02437678638012549,0.10744626190654524,0.0012053917687408853,0.01660774519147613,0.03889543272465668,0.003359795651039452,0.002588643792506461,2.741343325935829e-06
BGR,0.6589564904446932,0.0716093634813013,0.07002751151129367,0.004199390044754645,0.010771640961806809,0.0902904898143037,0.003507874929427192,0.004107016184877477,0.022224700467296427,0.017740050493724818,0.0463267616392406,0.00023871002728032077
HRV,0.004284964977740881,0.5043920756009987,0.33005312374791557,0.03760206741745495,0.004452624246375845,0.014365252794144431,0.00580477550198396,0.038328545888470775,0.053679859105905926,0.0006778895173982987,0.006257931733781827,0.00010088946782888302
CZE,0.11558023106907206,0.01067823947309062,0.195522353116762,0.017885158899025415,0.4644314675796323,0.0035420312567679196,0.15767537114219413,0.014037219453926948,0.0025942152023851004,0.004808883803002604,0.012839370576417295,0.0004054584277236777
CYP,0.8660312004424493,1.5287553020121878e-05,0.05726693383069919,0.04393774326000179,0.0070785798647708545,0.007202739509425683,0.0010934590529932712,0.001272064174314409,0.0024013425254347815,0.0033923980787854534,0.010290390788107858,1.786091999747039e-05
DNK,0.44772498363218366,0.2862017841768241,0.04700348518152872,0.08051641113548041,0.011124656254321456,0.08312242448879503,0.03131636434399924,4.094563186620618e-05,0.011174039791882948,0.0007129436705894345,0.0007993011979954443,0.00026266049453320893
GBR,0.21329274686247762,0.5875239120631173,0.0006697145451976834,0.03709236849461028,0.06112623884204371,0.049757185614173444,0.019500299297016657,0.013251118996492173,2.2036899781573577e-05,0.0019330151870028923,0.015478489320795296,0.00035287387729148086
EST,0.13254866333676932,0.18107516428155357,0.39782462218119546,0.09967125521130424,0.00028966431325462224,0.03433317247618028,0.00016347260221006421,0.04507365358338885,0.021322662765037453,0.07830757747719502,0.009345761152272846,4.433061963850018e-05
FIN,0.30065502667792415,0.04190244754072199,0.26045768851947176,0.13003155906803934,0.18677211473562955,0.02899602017992996,0.003329029741994826,0.03832049466136178,0.005567247883196995,0.003561627914148486,0.00040572884056401846,1.0142370170884742e-06
FRA,0.02383993506375457,0.81028662134187,7.2625818693739734e-06,0.02337704247817833,0.019693866656757597,0.0480429602487882,0.02137226348559622,0.008766919585611785,0.0004757987876411619,0.03277205271091233,0.01133748147839658,2.77955806239046e-05
DEU,0.12647126086789423,0.7383539811615067,3.336365527691191e-05,0.0058979190116152085,0.02346003779507072,0.0102578313467491,0.051312527205767844,0.010194640147307763,0.03114824928581055,0.0006280748623414855,0.0018688386682419445,0.00037327599241765945
GRC,0.8279827454477479,3.6067852500255324e-05,0.05089476947553618,0.01784579295357302,0.0018147135938409338,0.013457606874807437,0.0008982628056514413,0.05106817492867647,0.01517144601271035,0.02064879661997005,6.446796127915419e-06,0.00017517663885815337
