,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
I1,-0.6813608973964944,0.33810820060968855,-0.07528135321261266,0.4839741189384149,-0.04723596245211583,0.2996905303685621,0.23699003800119833,-0.002555229965644488,0.16663151107661905,0.026011861977305772,0.06818021838203613,0.014975485187648496
I2a,0.270116625357179,-0.6434017701272782,-0.5983736658201328,-0.17646036339247692,0.14323434763716997,-0.09883085899398,0.07003169360139026,0.1863741686839648,0.21337991642915158,-0.0797644118767779,-0.04124588923630831,0.019076364879148964
I2b,-0.31087090144912854,0.8388798065718989,-0.24960042313730663,-0.07444488973888395,-0.10651680045092839,0.17467148020999204,-0.08035066115489964,0.07610576219077887,-0.08716488629119074,-0.24426190643010692,-0.10206216282455348,0.0038714261416713603
R1a,-0.4131436096874255,-0.6368081253929933,0.15070801603113065,-0.28430460647835776,-0.5460766053122619,0.08898375809935916,-0.00552382021039945,-0.08840781457377384,-0.07065368197286528,-0.01709847069363485,0.019479696747248226,0.02485502852597979
R1b,-0.05778346044604971,0.8966039258689454,0.01660952723815028,-0.23149374253235575,0.13636680625789957,-0.3223215973938812,0.05083083354086055,-0.06482229298724158,-0.031840213908145586,0.08022450227345768,0.0331009170275137,0.03284783998459074
G,0.72164184184611,0.43319199205638736,-0.053842404326159554,0.06431826093577363,-0.28716783138635377,0.07887050568567168,-0.3674302699426043,0.17380560265922845,0.13661474189538483,0.08501903314857977,0.06883774060894425,0.0034839421427954715
J2,0.9272749556964902,0.011153288691526717,0.06062665861196561,0.19295301550626867,-0.03008971091343773,0.16287512733841195,0.03888928008507281,-0.13169323676038536,0.00043156806545866243,0.11988321470642842,-0.19562957918723933,0.014071835963416343
J1,0.8464788700260274,0.0435472441305972,0.184074501682654,0.08589222438854825,-0.12716380598170915,-0.005895936863214976,0.30039400268290245,0.30702160464143297,-0.19449242874024242,-0.010619933781285115,0.040796112297804644,0.0027631414808958507
E1b1b,0.7710618222621676,-0.19513558436156545,-0.372638407235323,0.010890782686119727,0.27095138924219536,0.2706654479930243,-0.08854023848450417,-0.1765142232098794,-0.1514711387817903,-0.06859772264415119,0.12220189169920435,0.012419243323236533
T,0.7698694345270116,0.02522006503888294,0.38604945633371185,0.2648009778274406,-0.14834180963445603,-0.2544500946642872,0.048904611507459284,-0.17679052426227845,0.1428943610093974,-0.21370230274138308,0.03203895950908495,0.0007748025396851482
Q,-0.2587067230907078,-0.16237421605648605,-0.6742838666105373,0.5374385695413382,-0.19981850996099643,-0.30453845621322323,-0.07525635640643945,-0.02700823729590955,-0.15226897929537922,0.028707562716209452,-0.01149242621554183,0.0006182358448093889
N,-0.4406100412470951,-0.4150856374611356,0.5935698073919644,0.33547544090676856,0.2844955815865488,-0.01993525712267992,-0.2364919326295594,0.15131424869390142,-0.06992348374488165,-0.050432614895330304,-0.025323862133194184,0.02154508607013304
